delever: the census describes another tree (stamp edd0ed12e734c92d); rerun tools/lever_census.py --sites -j 16 — running the census now
gte_consolidate --apply gte2: 244 files of 468 with work (400 done) — 960 definitions, 240 direct statements
05:58:59   src/ov_SC06_016/ov_SC06_016_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:58:59   src/ov_SC06_020/ov_SC06_020_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:58:59   src/ov_SC06_024/ov_SC06_024_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:58:59   src/ov_SC06_027/ov_SC06_027_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:58:59   src/ov_SC06_025/ov_SC06_025_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:58:59   src/ov_SC06_029/ov_SC06_029_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:58:59   src/ov_SC06_022/ov_SC06_022_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:58:59   src/ov_SC06_033/ov_SC06_033_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:58:59   src/ov_SC06_032/ov_SC06_032_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:58:59   src/ov_SC06_030/ov_SC06_030_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:58:59   src/ov_SC07_001/ov_SC07_001_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:58:59   src/ov_SC07_002/ov_SC07_002_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:59:00   src/ov_SC07_000/ov_SC07_000_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:59:00   src/md_MAIN_039/md_MAIN_039.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:00   src/ov_SC04_000/ov_SC04_000_jr_801818E8.c: CONSOLIDATED — deleted 4 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 2, marked 0
05:59:00   src/ov_SC07_006/ov_SC07_006_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:59:00   src/ov_SC07_007/ov_SC07_007_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:59:00   src/ov_SC01_000/ov_SC01_000_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:00   src/ov_SC01_001/ov_SC01_001_jr_8017D2DC.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 5, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:00   src/ov_MAIN_012/ov_MAIN_012_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:00   src/ov_SC01_001/ov_SC01_001_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:00   src/ov_SC07_011/ov_SC07_011_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:59:00   src/ov_SC07_010/ov_SC07_010_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:59:00   src/ov_SC07_008/ov_SC07_008_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:59:00   src/ov_SC07_009/ov_SC07_009_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:59:00   src/ov_SC01_004/ov_SC01_004_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:00   src/ov_SC01_008/ov_SC01_008_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:00   src/ov_SC01_009/ov_SC01_009_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:00   src/ov_SC01_005/ov_SC01_005_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:00   src/ov_SC01_074/ov_SC01_074_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:00   src/ov_SC02_004/ov_SC02_004_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:01   src/ov_SC01_084/ov_SC01_084_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:01   src/ov_SC01_080/ov_SC01_080_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:01   src/ov_SC02_011/ov_SC02_011_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:01   src/ov_SC02_005/ov_SC02_005_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:01   src/ov_SC02_015/ov_SC02_015_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:01   src/ov_SC02_016/ov_SC02_016_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:01   src/ov_SC05_004/ov_SC05_004_jr_8017F210.c: CONSOLIDATED — deleted 6 defs, renamed 0, use renames 8, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:01   src/ov_SC02_017/ov_SC02_017_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:01   src/ov_SC02_000/ov_SC02_000_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:01   src/ov_SC01_077/ov_SC01_077.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:01   src/ov_SC02_016/ov_SC02_016_jr_801810C8.c: CONSOLIDATED — deleted 4 defs, renamed 1, use renames 6, direct calls 0, direct levers 0, unmatched 0, marked 6
05:59:01   src/ov_SC02_026/ov_SC02_026_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:01   src/ov_SC02_035/ov_SC02_035_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:01   src/ov_SC02_021/ov_SC02_021_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:01   src/ov_SC02_028/ov_SC02_028_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:01   src/ov_SC02_031/ov_SC02_031_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:01   src/ov_SC02_027/ov_SC02_027_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
