delever --propagate: src/ov_SC04_011/ov_SC04_011_jr_8015C32C.c:func_80163EC8 -> 0 sibling(s) of class 3b27c13d8d73
delever --propagate: src/ov_SC04_011/ov_SC04_011_jr_8015C32C.c:func_8015D01C -> 132 sibling(s) of class 4ea6e9f0cbcd
  delever --apply-body: src/ov_SC03_010/ov_SC03_010_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.38 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_023/ov_SC03_023_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.40 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_013/ov_SC03_013_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.43 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_028/ov_SC03_028_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.38 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_024/ov_SC03_024_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.38 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_014/ov_SC03_014_jr_8015C32C.c:func_8015D01C IDENTICAL on 2 object(s) (0.79 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_107/ov_SC03_107_jr_8015A3C8.c:func_8015D01C IDENTICAL on 1 object(s) (0.46 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_031/ov_SC03_031_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.40 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_089/ov_SC03_089_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.37 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_091/ov_SC03_091_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.38 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_093/ov_SC03_093_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.42 s) — KEPT, ledgered (rung D, p1)
